SystemID ,n_code,b_code,name,mc_url,sector,Trade ,Price
1, ABB ,500002,ABB India Ltd.,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abbindia/ABB, INFRASTRUCTURE - GENERAL ,Both Trading,1204.9
2, AMARAJABAT ,500008,Amara Raja Batteries Ltd.,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/amararajabatteries/ARB, AUTO ANCILLARIES ,Both Trading,821.6
3, AMBASARABH ,500009,Ambalal Sarabhai Enterprise Ltd.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ambalalsarabhaienterprise/ASE, PHARMACEUTICALS ,Bse Trading,14
4, HDFC ,500010,Housing Development Finance Corporation Ltd.,http://www.moneycontrol.com/india/stockpricequote/financehousing/housingdevelopmentfinancecorporation/HDF, FINANCE - HOUSING ,Both Trading,1977.55
5, ANDHRAPET ,500012,Andhra Petro Ltd.,http://www.moneycontrol.com/india/stockpricequote/chemicals/andhrapetro/AP09, CHEMICALS ,Bse Trading,75.35
6, ANSALAPI ,500013,Ansal Properties & Infrastructure Ltd.,http://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/ansalpropertiesinfrastructure/API07, CONSTRUCTION & CONTRACTING - HOUSING ,Both Trading,16.25
7, APPLEIND ,500014,Apple Finance Ltd.,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/applefinance/AF12, FINANCE - LEASING & HIRE PURCHASE ,Bse Trading,3.21
8, ARUNASUGAR ,500016,Aruna Hotels Ltd.,http://www.moneycontrol.com/india/stockpricequote/hotels/arunahotels/AH06, HOTELS ,Bse Trading,20.29
9, AEGISCHEM ,500003,Aegis Logistics Ltd.,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/aegislogistics/AL9, TRANSPORT & LOGISTICS ,Both Trading,235
10, BOMDYEING ,500020,Bombay Dyeing and Manufacturing Company Ltd.,http://www.moneycontrol.com/india/stockpricequote/textilesprocessing/bombaydyeingmanufacturingcompany/BDM, TEXTILES - PROCESSING ,Both Trading,255
11, ASIANHOTNR ,500023,Asian Hotels (North) Ltd.,http://www.moneycontrol.com/india/stockpricequote/hotels/asianhotelsnorth/AH, HOTELS ,Both Trading,226.05
12, ASSAMCO ,500024,Assam Company (India) Ltd.,http://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/assamcompanyindia/AC12, PLANTATIONS - TEA & COFFEE ,Both Trading,5.18
13, ATUL ,500027,Atul Ltd.,http://www.moneycontrol.com/india/stockpricequote/dyespigments/atul/A06, DYES & PIGMENTS ,Both Trading,3147.2
14, ATVPROJ ,500028,ATV Projects India Ltd.,http://www.moneycontrol.com/india/stockpricequote/engineeringheavy/atvprojectsindia/ATV, ENGINEERING - HEAVY ,Bse Trading,10.1
15, AUTOLITIND ,500029,Autolite (India) Ltd.,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/autoliteindia/AI31, AUTO ANCILLARIES ,Both Trading,59.75
16, BAJAJTEMPO ,500033,Force Motors Ltd.,http://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/forcemotors/FM01, AUTO - LCVS & HCVS ,Bse Trading,2573.15
17, BAJFINANCE ,500034,Bajaj Finance Ltd.,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/bajajfinance/BAF, FINANCE - LEASING & HIRE PURCHASE ,Both Trading,2828.35
18, BALRAMCHIN ,500038,Balrampur Chini Mills Ltd.,http://www.moneycontrol.com/india/stockpricequote/sugar/balrampurchinimills/BCM, SUGAR ,Both Trading,73.25
19, BANCOINDIA ,500039,Banco Products (India) Ltd.,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/bancoproductsindia/BPI, AUTO ANCILLARIES ,Both Trading,221.45
20, BANARISUG ,500041,Bannariamman Sugars Ltd.,http://www.moneycontrol.com/india/stockpricequote/sugar/bannariammansugars/BS07, SUGAR ,Both Trading,1480
21, BAJAJELEC ,500031,Bajaj Electricals Ltd.,http://www.moneycontrol.com/india/stockpricequote/domesticappliances/bajajelectricals/BE, DOMESTIC APPLIANCES ,Both Trading,624.5
22, BAJAJHIND ,500032,Bajaj Hindusthan Ltd.,http://www.moneycontrol.com/india/stockpricequote/sugar/bajajhindusthan/BH06, SUGAR ,Both Trading,6.86
23, BASF ,500042,BASF India Ltd.,http://www.moneycontrol.com/india/stockpricequote/chemicals/basfindia/BAS, CHEMICALS ,Both Trading,2042.8
24, BATAINDIA ,500043,Bata India Ltd.,http://www.moneycontrol.com/india/stockpricequote/leatherproducts/bataindia/BI01, LEATHER PRODUCTS ,Both Trading,953.75
25, CENTURYTEX ,500040,Century Textiles and Industries Ltd.,http://www.moneycontrol.com/india/stockpricequote/diversified/centurytextilesindustries/CTI, DIVERSIFIED ,Both Trading,910.55
26, BEL ,500049,Bharat Electronics Ltd.,http://www.moneycontrol.com/india/stockpricequote/electricals/bharatelectronics/BE03, ELECTRICALS ,Both Trading,121.2
27, BEML ,500048,BEML Ltd.,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/beml/BEM03, INFRASTRUCTURE - GENERAL ,Both Trading,810
28, BEPL ,500052,Bhansali Engineering Polymers Ltd.,http://www.moneycontrol.com/india/stockpricequote/petrochemicals/bhansaliengineeringpolymers/BEP, PETROCHEMICALS ,Both Trading,143.7
29, BHUSANSTL ,500055,Bhushan Steel Ltd.,http://www.moneycontrol.com/india/stockpricequote/steelcrhrstrips/bhushansteel/BS14, STEEL - CR & HR STRIPS ,Both Trading,31.1
30, BIHARSPONG ,500058,Bihar Sponge Iron Ltd.,http://www.moneycontrol.com/india/stockpricequote/steelspongeiron/biharspongeiron/BSI04, STEEL - SPONGE IRON ,Bse Trading,1.1
31, BINDALAGRO ,500063,Oswal Chemicals and Fertilisers Ltd.,http://www.moneycontrol.com/india/stockpricequote/fertilisers/oswalchemicalsfertilisers/OCF, FERTILISERS ,Nse Trading,20.85
32, BINANIIND ,500059,Binani Industries Ltd.,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/binaniindustries/BI10, MISCELLANEOUS ,Both Trading,82.95
33, BIRLACABLE ,500060,Birla Cable Ltd.,http://www.moneycontrol.com/india/stockpricequote/cablestelephone/birlacable/BEO, CABLES - TELEPHONE ,Both Trading,121.65
34, GEORGFISCH ,500068,Disa India Ltd.,http://www.moneycontrol.com/india/stockpricequote/engineeringheavy/disaindia/DI22, ENGINEERING - HEAVY ,Bse Trading,6000
35,  ,500069,BNK Capital Markets Ltd.,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/bnkcapitalmarkets/BNK, FINANCE - INVESTMENTS ,Bse Trading,93.75
36, BLUESTARCO ,500067,Blue Star Ltd.,http://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/bluestar/BS, CONSUMER GOODS - WHITE GOODS ,Both Trading,703
37, BPL ,500074,BPL Ltd.,http://www.moneycontrol.com/india/stockpricequote/consumergoodselectronic/bpl/BPL, CONSUMER GOODS - ELECTRONIC ,Both Trading,54.65
38, CAMPALLIED ,500078,ORIENTAL AROMATICS Ltd.,http://www.moneycontrol.com/india/stockpricequote/chemicals/orientalaromaticsltd/CAP, CHEMICALS ,Bse Trading,841
39, CENTEXT ,500083,Century Extrusions Ltd.,http://www.moneycontrol.com/india/stockpricequote/aluminium/centuryextrusions/CE02, ALUMINIUM ,Both Trading,5.92
40, CHAMBLFERT ,500085,Chambal Fertilisers and Chemicals Ltd.,http://www.moneycontrol.com/india/stockpricequote/fertilisers/chambalfertiliserschemicals/CFC, FERTILISERS ,Both Trading,139.95
41, EXIDEIND ,500086,Exide Industries Ltd.,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/exideindustries/EI, AUTO ANCILLARIES ,Both Trading,282.9
42, CESC ,500084,CESC Ltd.,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/cesc/CES, POWER - GENERATION & DISTRIBUTION ,Both Trading,915.4
43, CIPLA ,500087,Cipla Ltd.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cipla/C, PHARMACEUTICALS ,Both Trading,619.25
44, DICIND ,500089,DIC India Ltd.,http://www.moneycontrol.com/india/stockpricequote/printingstationery/dicindia/DIC02, PRINTING & STATIONERY ,Both Trading,435
45, CRISIL ,500092,CRISIL Ltd.,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/crisil/CRI, MISCELLANEOUS ,Both Trading,1780
46, CGPOWER ,500093,CG Power and Industrial Solutions Ltd.,http://www.moneycontrol.com/india/stockpricequote/electricequipment/cgpowerindustrialsolutions/CG, ELECTRIC EQUIPMENT ,Both Trading,61.1
47, DABUR ,500096,Dabur India Ltd.,http://www.moneycontrol.com/india/stockpricequote/personalcare/daburindia/DI, PERSONAL CARE ,Both Trading,444.7
48, DALMIASUG ,500097,Dalmia Bharat Sugar and Industries Ltd.,http://www.moneycontrol.com/india/stockpricequote/sugar/dalmiabharatsugarindustries/DCB, SUGAR ,Both Trading,66.35
49, BALLARPUR ,500102,Ballarpur Industries Ltd.,http://www.moneycontrol.com/india/stockpricequote/paper/ballarpurindustries/BI12, PAPER ,Both Trading,10.02
50, BHEL ,500103,Bharat Heavy Electricals Ltd.,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/bharatheavyelectricals/BHE, INFRASTRUCTURE - GENERAL ,Both Trading,74.45
51, ARVIND ,500101,Arvind Ltd.,http://www.moneycontrol.com/india/stockpricequote/textilesdenim/arvind/A18, TEXTILES - DENIM ,Both Trading,396.4
52, IFCI ,500106,IFCI Ltd.,http://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/ifci/IFC02, FINANCE - TERM LENDING INSTITUTIONS ,Both Trading,17
53, MTNL ,500108,Mahanagar Telephone Nigam Ltd.,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/mahanagartelephonenigam/MTN, TELECOMMUNICATIONS - SERVICE ,Both Trading,15.95
54, RELCAPITAL ,500111,Reliance Capital Ltd.,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/reliancecapital/RC, FINANCE - INVESTMENTS ,Both Trading,442.45
55, CHENNPETRO ,500110,Chennai Petroleum Corporation Ltd.,http://www.moneycontrol.com/india/stockpricequote/refineries/chennaipetroleumcorporation/CPC02, REFINERIES ,Both Trading,334.8
